Student_ID,Country,Subject,Success_Prob,Success_Label,Pass/Fail,Cluster,GPA,Attendance,Engagement
S101251,Nigeria,Information Systems,0.005877698408366741,At Risk,FAIL,At-Risk Students,-1.0917502683994909,-1.9011374747438734,-1.7736735466542304
S100374,Kenya,Computer Science,0.005897644700643928,At Risk,FAIL,At-Risk Students,-1.0917502683994909,-1.7833556096696708,-1.7570267263664194
S0116,Brazil,Business,0.006438742069521305,At Risk,FAIL,Moderate Performers,-2.978679591168989,-0.8736884420552985,-1.3655106488316489
S100196,Sri Lanka,Information Systems,0.006981145547105736,At Risk,FAIL,At-Risk Students,-0.8808490887265945,-1.7293722548439945,-1.6446606894236961
S101181,Ghana,Engineering,0.007186286686623372,At Risk,FAIL,At-Risk Students,-0.9662138519275287,-1.7637252988239702,-1.7237330857907978
S100023,China,Computer Science,0.007305044197225845,At Risk,FAIL,At-Risk Students,-1.0917502683994909,-1.8962298970324483,-1.777835251726183
S101376,India,Medicine,0.007616644599989201,At Risk,FAIL,At-Risk Students,-0.8858705453854728,-1.7588177211125453,-1.7112479705749397
S100925,USA,Engineering,0.007794303466215061,At Risk,FAIL,At-Risk Students,-0.46406818603967986,-1.837338964495347,-1.7861586618700884
S100772,Sri Lanka,Business,0.008029576291089174,At Risk,FAIL,At-Risk Students,-1.0917502683994909,-1.837338964495347,-1.7112479705749397
S101423,Nigeria,Computer Science,0.008110980558160638,At Risk,FAIL,At-Risk Students,-0.5092612959695862,-1.832431386783922,-1.748703316222514
S100354,Nigeria,Humanities,0.009262979433762033,At Risk,FAIL,At-Risk Students,-0.8005057821845386,-1.6459434337497674,-1.5739117032005001
S101269,Vietnam,Humanities,0.010602703060805014,At Risk,FAIL,At-Risk Students,-0.3033815729555681,-1.74409498797827,-1.6779543299993178
S100239,South Korea,Medicine,0.010851744714442307,At Risk,FAIL,At-Risk Students,-0.5845831458527637,-1.7735404542468205,-1.7029245604310341
S101358,India,Information Systems,0.010944363131878689,At Risk,FAIL,At-Risk Students,-0.8055272388434169,-1.4251024367356373,-1.315885988739432
S101209,Bangladesh,Social Sciences,0.010976719132239179,At Risk,FAIL,At-Risk Students,-0.15273787318921353,-1.8962298970324483,-1.8236140075176628
S100736,Kenya,Business,0.012064363435017614,At Risk,FAIL,At-Risk Students,-0.710119562324726,-1.5085312578298642,-1.5114861271212092
S100275,Canada,Humanities,0.012541180368886238,At Risk,FAIL,At-Risk Students,-0.46908964269855824,-1.8422465422067722,-1.7237330857907978
S100426,India,Engineering,0.013071082289754243,At Risk,FAIL,At-Risk Students,-0.5544544058994926,-1.4496403252927628,-1.3741498597467698
S100727,Vietnam,Computer Science,0.01350272655024227,At Risk,FAIL,At-Risk Students,-1.0063855051985566,-1.6263131229040668,-1.5822351133444055
S100721,China,Computer Science,0.016442579162425863,At Risk,FAIL,At-Risk Students,-0.1075447632593072,-1.7342798325554196,-1.5822351133444055
S100834,Bangladesh,Humanities,0.017019327683310385,At Risk,FAIL,At-Risk Students,-1.0566000717873414,-1.8422465422067722,-1.736218201006656
S100637,Kenya,Information Systems,0.01712314769905577,At Risk,FAIL,At-Risk Students,-0.5393900359228574,-1.6459434337497674,-1.5780734082724528
S100367,France,Medicine,0.017738154121434997,At Risk,FAIL,At-Risk Students,-0.5193042092873434,-1.5330691463869899,-1.4615456662577768
S0168,France,Engineering,0.018355463154153012,At Risk,FAIL,Moderate Performers,-2.527029345706653,-0.7153899272459838,-1.0746483720831959
S0050,China,Engineering,0.01878665241174099,At Risk,FAIL,Moderate Performers,-2.1181618556272235,-0.48633287964383737,-0.9697907885329755
S100548,Canada,Social Sciences,0.018815542025174277,At Risk,FAIL,At-Risk Students,0.028034566530412225,-1.7244646771325693,-1.6571458046395544
S0049,South Korea,Engineering,0.018995721845324307,At Risk,FAIL,Moderate Performers,-2.2741968083509643,-0.5635722546790639,-0.994079732035384
