student_id,country_home,subject_field,predicted_success_proba,predicted_risk_level,cluster_name,gpa_sem1,attendance_rate
S101301,Spain,Computer Science,0.9698120265349762,Low Risk,Elite Performers,0.992154245035082,0.8274757328084914
S100944,Germany,Information Systems,0.9982691704652351,Low Risk,Elite Performers,1.2181197946846136,1.2789728822596027
S101078,Germany,Medicine,0.7330536070822884,Low Risk,Strong Achievers,0.26906448615657946,-0.07061098838230474
S0268,France,Social Sciences,0.9482241332347382,Low Risk,Elite Performers,-1.4371205291241138,0.9782887093799147
S101318,Canada,Humanities,0.9965051683415387,Low Risk,Elite Performers,1.3135274712033047,1.092484929225448
S100674,Spain,Business,0.9651599998550222,Low Risk,Elite Performers,0.6205664522780737,0.5281134924115596
S100535,India,Computer Science,0.9996853269905679,Low Risk,Elite Performers,1.9211237269276022,1.6175957443479354
S100765,India,Computer Science,0.9304056536923904,Low Risk,Elite Performers,0.43979401255844797,0.4103316273373566
S100413,India,Medicine,0.8949206282641708,Low Risk,Elite Performers,0.3745150759930277,0.21402851888035176
S100620,India,Humanities,0.9693134679474091,Low Risk,Elite Performers,0.8515534585864842,0.2827346068403035
S100614,Nigeria,Social Sciences,0.784402595299181,Low Risk,Strong Achievers,0.10837787307246767,0.2434739851489025
S100070,Italy,Medicine,0.9200740696822637,Low Risk,Elite Performers,0.5251587757593823,0.5722816918143856
S100351,Vietnam,Social Sciences,0.9935416530402215,Low Risk,Elite Performers,1.0373473549649883,1.0777621960911725
S100886,Canada,Business,0.7775088596914176,Low Risk,Strong Achievers,0.7912959786799423,0.00791025500049721
S100162,South Korea,Computer Science,0.5075195890301875,Medium Risk,Strong Achievers,0.37953653265190607,-0.15894738718795692
S0214,Latvia,Computer Science,0.6348457811150491,Medium Risk,Moderate Performers,-1.7266593324710802,0.48376055281412855
S100270,Vietnam,Medicine,0.8213390464356931,Low Risk,Strong Achievers,0.20378554959115916,0.18949063032322616
S100599,Kenya,Engineering,0.9951731699221101,Low Risk,Elite Performers,1.0976048348715297,0.9943333749969455
S0175,Nigeria,Social Sciences,0.9307283763742965,Low Risk,Elite Performers,-1.3232921091811762,0.8334809272157825
S100986,Spain,Business,0.9191923321224886,Low Risk,Elite Performers,0.2489786595210655,0.5281134924115596
S100109,Germany,Humanities,0.9921093614610367,Low Risk,Elite Performers,0.12344224304910326,1.4605532575823315
S0004,China,Engineering,0.7542465820277252,Low Risk,Moderate Performers,-2.3411100324336553,0.47607657519246216
S100526,Nigeria,Engineering,0.9845736220254587,Low Risk,Elite Performers,0.5753733423481674,1.1023000846482982
S101202,Bangladesh,Computer Science,0.9995340907731287,Low Risk,Elite Performers,1.2432270779790064,1.59305785579081
S100483,Latvia,Medicine,0.9897553658891546,Low Risk,Elite Performers,0.821424718633213,1.0385015743997716
S101467,Brazil,Engineering,0.5291431075842875,Medium Risk,Strong Achievers,-0.5644973192172498,0.2680118737060281
S100305,Germany,Medicine,0.6808439970394731,Low Risk,Strong Achievers,0.08327058977807532,-0.08042614380515498
S101469,Kenya,Medicine,0.8999379553881366,Low Risk,Strong Achievers,0.8264461752920919,0.3318103839545547
S100029,Germany,Medicine,0.9582224686730941,Low Risk,Elite Performers,0.9017680251752689,0.41523920504878176
S101176,Spain,Social Sciences,0.9925904334410984,Low Risk,Elite Performers,0.9268753084696613,1.097392506936873
S101345,Bangladesh,Information Systems,0.904349889400737,Low Risk,Elite Performers,0.4448154692173264,0.12078454236327446
S0194,United Kingdom,Social Sciences,0.9870826594817167,Low Risk,Elite Performers,-1.320704660704848,1.234580846064061
S100322,Nigeria,Business,0.9013235786920282,Low Risk,Elite Performers,0.3694936193341493,0.03735572126904794
S100802,Ghana,Humanities,0.52039589470889,Medium Risk,Strong Achievers,0.6205664522780737,-0.7135036685789952
S101394,USA,Information Systems,0.9883977266980696,Low Risk,Elite Performers,1.3888493210864823,0.5182983369887093
S100567,Latvia,Social Sciences,0.9914243566494361,Low Risk,Elite Performers,1.208076881366857,0.8274757328084914
S101277,Germany,Engineering,0.9961386213235611,Low Risk,Elite Performers,0.5502660590537746,1.4163850581795054
S100582,Sri Lanka,Social Sciences,0.6908039817782562,Low Risk,Strong Achievers,0.3694936193341493,-0.001904900422353034
S101058,Canada,Medicine,0.8301753787171189,Low Risk,Elite Performers,0.6808239321846157,-0.25219136370503425
S0039,Kenya,Medicine,0.968645342276055,Low Risk,Elite Performers,-1.0917502683994909,1.0913875288399408
S100841,Bangladesh,Humanities,0.9982567071786815,Low Risk,Elite Performers,1.1528408581191938,1.3182335039510036
S100233,South Korea,Medicine,0.8811313948659945,Low Risk,Strong Achievers,0.03305602318929061,0.3563482725116803
S100115,Vietnam,Business,0.9831685753340476,Low Risk,Elite Performers,0.6758024755257368,1.131745550916849
S100532,Kenya,Humanities,0.9980298177404727,Low Risk,Elite Performers,1.0222829849883532,1.4212926358909306
S100712,USA,Information Systems,0.9996330754284893,Low Risk,Elite Performers,1.6248577840537715,1.5783351226565345
S100188,South Korea,Engineering,0.9758947029593223,Low Risk,Elite Performers,0.5954591689836813,0.9354424424598441
S0130,Italy,Engineering,0.8151418896431528,Low Risk,Moderate Performers,-1.5407801285279643,0.7077855759201785
S101493,India,Business,0.5393778256871617,Medium Risk,Strong Achievers,0.27910739947433666,-0.45830962758488936
S100576,Bangladesh,Humanities,0.9948496987955279,Low Risk,Elite Performers,0.5251587757593823,1.1464682840511242
S100220,Brazil,Humanities,0.993046258481276,Low Risk,Elite Performers,0.7209955854556436,0.9747030641512451
S101422,Kenya,Computer Science,0.8812957244205266,Low Risk,Elite Performers,0.39962235928742007,-0.0166276335566284
S0081,Pakistan,Business,0.916247589532317,Low Risk,Elite Performers,-1.272364707518809,0.8374451504941495
S100425,Kenya,Social Sciences,0.5853855638846754,Medium Risk,Strong Achievers,0.6306093655958305,-0.07061098838230474
S0218,Italy,Medicine,0.9610569825774847,Low Risk,Elite Performers,-1.317229181120122,1.0754162713209454
S100867,Nigeria,Social Sciences,0.8630729876305454,Low Risk,Strong Achievers,0.4247296425818124,0.5330210701229847
S100874,Germany,Information Systems,0.999107619836186,Low Risk,Elite Performers,0.9720684183995676,1.6175957443479354
