student_id,institution,program_id,country_home,country_host,cohort_year,subject_field,study_level,study_mode,gender,age,marital_status,language_proficiency,teaching_style_difference,cultural_distance,support_program,participates_in_buddy_program,participates_in_language_course,works_while_studying,work_hours_per_week,scholarship_status,entry_gpa,gpa_sem1,gpa_sem2,gpa_prev,credits_attempted_sem1,credits_earned_sem1,credits_attempted_sem2,credits_earned_sem2,failed_courses_sem1,failed_courses_sem2,attendance_rate,mean_weekly_engagement,std_weekly_engagement,low_engagement_weeks,engagement_trend,avg_assignment_score,avg_exam_score,late_submission_rate,missing_assignments_count,final_gpa_sem3_or_year,success_label,risk_level
S0001,Latvia_Uni_A,PRG_844,India,Latvia,2021,Medicine,Bachelor,Full-time,Female,20,Single,4,0.8158425631014783,0.6,None,0,0,1,18,None,1.8875387654486733,0.7937593776253005,2.6752187251705526,1.7344890513979265,30,24,30,27,2,1,0.6780724832320238,0.5155164721951594,0.12287227943248258,17,-0.00332283463008306,51.58207333392957,62.91523801908104,0.3092370197989153,4,2.0297365581081515,0,High
S0002,Latvia_Uni_A,PRG_501,Nigeria,Latvia,2022,Computer Science,Master,Full-time,Male,21,Married,2,0.3147906761577044,0.75,Mentoring,0,0,0,0,None,2.315504296797027,1.569439128739753,2.4198179578292063,1.9946285432844797,30,27,30,27,1,1,0.6998970811472478,0.5143401475312042,0.13711601597539944,17,-0.0007298509104204905,63.531758459074496,54.540942833561324,0.35047174708148543,1,2.377373046063637,0,High
S0003,Latvia_Uni_A,PRG_328,Kenya,Latvia,2018,Computer Science,Master,Full-time,Male,24,Married,3,0.8051659914501663,0.75,StudySkills,0,0,1,10,None,2.644180725302863,1.8151810898475365,1.759380889032486,1.7872809894400112,30,27,30,27,1,1,0.6829799746794191,0.5641689078016929,0.12808736405216678,11,-0.00032131632542924284,54.46096850819448,52.09776044799079,0.21139280752365408,2,2.62509722676088,0,High
S0004,Latvia_Uni_A,PRG_411,China,Latvia,2021,Engineering,Bachelor,Full-time,Male,25,Single,4,0.5486913021399775,0.6,None,0,0,0,0,Partial,3.072408415159033,1.5119574878234616,3.530534953630613,2.521246220727037,30,27,30,27,1,1,0.7613966188048429,0.6521647223717107,0.13033614761632173,3,0.0023058431739682063,65.70185769551343,75.07820761127434,0.23650531150541085,4,2.8924406317557194,0,High
S0005,Latvia_Uni_A,PRG_690,USA,Latvia,2019,Social Sciences,Bachelor,Part-time,Male,22,Single,4,0.16208855478434597,0.3,StudySkills,1,1,0,0,None,2.9414864969621193,4.0,3.644861507817835,3.8224307539089173,30,27,30,27,1,1,0.8459878225831708,0.7524642611858885,0.11880427356866127,0,-0.0020266001769404956,88.15231762887304,59.33007215964009,0.22347601019079194,3,3.3613349131904786,0,High
S0006,Latvia_Uni_A,PRG_597,China,Latvia,2019,Social Sciences,Bachelor,Full-time,Male,25,Single,5,0.5982809134038996,0.6,Mentoring,1,1,0,0,None,2.003595188766175,2.535941642004354,2.231363605811519,2.3836526239079365,30,27,30,24,1,2,0.713343437380539,0.5565712241938701,0.12153457660086127,11,-0.0019404784970673272,44.603174774567975,82.4275303181753,0.18453717172625453,4,1.64821982182198,0,High
S0007,Latvia_Uni_A,PRG_728,Brazil,Latvia,2020,Engineering,Bachelor,Full-time,Male,26,Single,3,0.5258613950332681,0.5,None,1,0,1,16,None,3.81583714422362,3.084397149328231,3.026609768685211,3.0555034590067214,30,27,30,27,1,1,0.7896531011481818,0.6439765258607162,0.09979374332984708,3,-0.0007211644058620397,68.63819396011328,61.18879703894303,0.24463617999044546,1,2.168802999704808,0,High
S0008,Latvia_Uni_A,PRG_717,Italy,Latvia,2019,Social Sciences,Master,Part-time,Female,18,Single,3,0.7942340654987217,0.1,StudySkills,0,0,1,13,Partial,1.477828874913159,1.3364331299825436,1.9412792609803393,1.6388561954814413,30,24,30,24,2,2,0.5583406157062251,0.36355118313650736,0.12111340965341019,26,-0.0007626534945840915,41.1976329652629,31.88580376906681,0.4276647713657771,2,1.2696665850955482,0,High
S0009,Latvia_Uni_A,PRG_479,Germany,Latvia,2023,Social Sciences,Bachelor,Full-time,Female,18,Single,4,0.5494154755612606,0.1,Mentoring,0,1,1,15,None,2.5748430385053966,3.2027642418185933,2.477694373423576,2.840229307621085,30,30,30,24,0,2,0.8317633743484951,0.7071706934499669,0.12538492903214796,2,-0.0017362467497270629,67.00288211063389,56.33095104325486,0.139985077492553,0,3.036598753836209,0,High
S0010,Latvia_Uni_A,PRG_419,Bangladesh,Latvia,2018,Computer Science,Bachelor,Full-time,Male,22,Single,5,0.9968934737282866,0.6,Mentoring,0,1,0,0,Partial,2.0542486943805955,1.110773162556082,1.3825458189393738,1.246659490747728,30,24,30,21,2,3,0.6607907758398206,0.5004140242661375,0.11459297749258844,15,0.00027259370942345375,65.67473738300586,60.4186200657653,0.35975644728431794,1,2.047538116471355,0,High
