student_id,institution,program_id,country_home,country_host,cohort_year,subject_field,study_level,study_mode,gender,age,marital_status,language_proficiency,teaching_style_difference,cultural_distance,support_program,participates_in_buddy_program,participates_in_language_course,works_while_studying,work_hours_per_week,scholarship_status,entry_gpa,gpa_sem1,gpa_sem2,gpa_prev,credits_attempted_sem1,credits_earned_sem1,credits_attempted_sem2,credits_earned_sem2,failed_courses_sem1,failed_courses_sem2,attendance_rate,mean_weekly_engagement,std_weekly_engagement,low_engagement_weeks,engagement_trend,avg_assignment_score,avg_exam_score,late_submission_rate,missing_assignments_count,gpa_sem3,success_label,risk_category,p_success_proxy
S100000,Latvia_Uni_A,LAW,Bangladesh,Latvia,2020,Humanities,Master,Full-time,Other,34,Married,3,High,0.6,1,1,0,0,0,Partial,8.07,9.0,8.8,8.9,35,32,28,25,1,1,0.972,0.898,0.054,0,0.009,87.5,90.1,0.204,0,9.32,1,Very Likely to Succeed,1.0
S100001,Latvia_College_C,CS,India,Latvia,2023,Information Systems,Bachelor,Full-time,Male,24,Single,1,High,0.6,0,1,0,1,18,None,7.54,7.67,7.44,7.56,34,34,27,24,0,1,0.591,0.433,0.075,0,-0.171,54.7,59.9,0.586,3,7.35,0,High Risk,0.549
S100002,Latvia_Uni_A,DATA,Nigeria,Latvia,2018,Medicine,Bachelor,Full-time,Female,36,Single,2,High,0.7364919361078253,0,0,1,0,0,Partial,5.78,5.58,6.23,5.9,35,35,27,24,0,1,0.445,0.276,0.12,19,0.252,25.4,15.3,0.534,2,5.41,0,High Risk,0.511
S100003,Latvia_Uni_B,MIS,Latvia,Latvia,2020,Engineering,Master,Full-time,Female,20,Single,3,Low,0.1,0,0,0,1,16,None,5.3,4.63,5.11,4.87,30,30,27,27,0,0,0.324,0.131,0.119,32,0.321,0.0,0.0,0.529,1,5.02,0,High Risk,0.591
S100004,Latvia_Uni_A,ENG,Brazil,Latvia,2019,Humanities,Master,Part-time,Other,25,Single,4,Medium,0.35,1,1,0,1,27,Partial,6.89,7.26,6.88,7.07,33,30,21,18,1,1,0.789,0.663,0.076,0,0.168,43.8,42.4,0.26,0,7.39,1,Very Likely to Succeed,0.904
S100005,Latvia_Uni_A,ENG,France,Latvia,2019,Computer Science,Master,Full-time,Female,36,Single,4,Low,0.1,0,1,0,0,0,Partial,8.33,8.22,8.16,8.19,26,26,32,26,0,2,0.758,0.626,0.087,0,-0.142,100.0,100.0,0.447,0,8.09,1,Very Likely to Succeed,0.967
S100006,Latvia_College_C,ENG,India,Latvia,2019,Business,Master,Full-time,Female,24,Single,2,High,0.6,0,0,0,1,27,Partial,6.4,5.78,6.11,5.94,35,35,26,23,0,1,0.482,0.325,0.119,18,0.319,56.3,41.8,0.629,4,6.05,0,High Risk,0.415
S100007,Tech_Institute_D,LAW,Sri Lanka,Latvia,2022,Social Sciences,Bachelor,Full-time,Female,25,Single,3,High,0.6,1,0,0,1,12,Partial,5.16,4.87,5.46,5.16,26,23,26,20,1,2,0.414,0.24,0.068,28,-0.08,0.0,0.0,0.288,3,5.72,0,High Risk,0.619
S100008,Latvia_College_C,ENG,Pakistan,Latvia,2020,Humanities,Bachelor,Full-time,Male,39,Single,2,High,0.6,0,0,0,1,10,None,6.28,5.89,6.22,6.06,24,24,24,21,0,1,0.316,0.14,0.075,36,-0.06,30.2,16.8,0.668,1,5.7,0,High Risk,0.439
S100009,Latvia_Uni_B,ENG,USA,Latvia,2022,Computer Science,Bachelor,Full-time,Female,25,Married,3,Medium,0.3,0,0,0,1,23,None,6.14,5.87,6.12,6.0,28,22,26,26,2,0,0.304,0.123,0.069,36,0.121,15.5,5.2,0.631,2,5.59,0,High Risk,0.55
