student_id,institution,program_id,country_home,country_host,cohort_year,subject_field,study_level,study_mode,gender,age,marital_status,language_proficiency,teaching_style_difference,cultural_distance,support_program,participates_in_buddy_program,participates_in_language_course,works_while_studying,work_hours_per_week,scholarship_status,entry_gpa,gpa_sem1,gpa_sem2,gpa_prev,credits_attempted_sem1,credits_earned_sem1,credits_attempted_sem2,credits_earned_sem2,failed_courses_sem1,failed_courses_sem2,attendance_rate,mean_weekly_engagement,std_weekly_engagement,low_engagement_weeks,engagement_trend,avg_assignment_score,avg_exam_score,late_submission_rate,missing_assignments_count,final_gpa_sem3_or_year,success_label,risk_level
SYN0001,Latvia_Uni_C,PRG_858,India,Latvia,2018,Engineering,Master,Full-time,Female,20,Married,4,0.40543980513076433,0.3,None,0,1,0,0,Partial,3.1426845298621258,3.4253266119467045,3.636410750682251,3.585498454581859,30,18,30,18,2,2,0.5675986209877827,0.5585978998596713,0.09665715980725309,0,-0.002797510912956758,42.907557330634646,44.259808986799804,0.45971097474793643,6,3.9376433027780693,1,Medium
SYN0002,Latvia_Uni_A,PRG_998,Nigeria,Latvia,2022,Mathematics,Bachelor,Full-time,Female,19,Married,2,0.6088851816244104,0.3,StudySkills,0,0,0,0,None,5.472867471292096,4.864208924332695,5.52004212555549,5.176040959412515,30,18,30,18,2,2,0.46665766897694727,0.5786757509804923,0.12460721182553751,0,-0.0035111003402952543,62.9687557929,62.34495763552484,0.25313014994179095,4,5.342172490161653,0,High
SYN0003,Latvia_Uni_C,PRG_342,India,Latvia,2021,Mathematics,Bachelor,Full-time,Female,26,Married,5,0.05533204311865456,0.3,None,0,0,0,0,None,7.318078199226472,4.459769901335892,4.88478471548894,4.920879393863712,30,18,30,18,2,2,0.3,0.45215668866514597,0.08994755009187129,1,-0.0018257339901853985,74.15776193727373,61.89200408046716,0.39540990327822234,4,4.86407380260167,1,Medium
SYN0004,Latvia_Uni_C,PRG_642,India,Latvia,2021,Computer Science,Bachelor,Full-time,Female,26,Married,4,0.5785089988069326,0.75,StudySkills,0,0,0,0,Partial,3.62830541125917,4.610348759495228,5.035982591130377,4.922489022644598,30,18,30,18,2,2,0.49508823621227105,0.4491885510614221,0.09172649972123423,1,-0.0017330888621047175,55.14699795746722,48.047861923273864,0.5369351174698205,7,4.851622198768947,1,Medium
SYN0005,Latvia_Uni_A,PRG_139,Kenya,Latvia,2018,Engineering,Master,Full-time,Male,19,Single,5,0.24124166300490787,0.75,None,0,0,1,15,None,6.7657302589050445,3.528825621405672,4.1139100934659645,4.179790404140438,30,18,30,18,2,2,0.5115620638650974,0.6902460526344456,0.11136108979565724,0,0.0009387901313108679,55.81468791156152,62.3080478365279,0.3404866359489458,6,4.084917830779841,0,Medium
SYN0006,Latvia_Uni_A,PRG_328,China,Latvia,2020,Mathematics,Master,Full-time,Male,18,Single,3,0.7222747195992367,0.6,Mentoring,0,1,0,0,Partial,6.4882477069331905,7.652025233178884,7.6300099113299185,6.685177755344363,30,20,30,20,2,2,0.7983714235456829,0.8845620116791999,0.07858968715257914,0,-0.0003110613981533746,90.41311584849417,72.24062490887049,0.42629330163504897,5,7.267607331242061,1,Low
SYN0007,Latvia_Uni_C,PRG_647,Nigeria,Latvia,2019,Computer Science,Master,Full-time,Female,20,Married,3,0.28698266408730705,0.6,None,0,1,1,18,Partial,6.71420964126764,1.7689996891198083,3.149523489887263,2.694630619826654,30,18,30,18,2,2,0.3060738547583907,0.47259773543323486,0.12032027787093234,2,0.0014791510974521674,60.91280086625772,60.88833113089099,0.21371088912292058,3,2.5830737960737022,0,Medium
SYN0008,Latvia_Uni_B,PRG_322,China,Latvia,2021,Engineering,PhD,Full-time,Male,23,Single,4,0.6295570023897852,0.9,Mentoring,0,0,1,15,Partial,5.271482641159029,3.0943971386030213,3.407024040616804,4.0923415693429295,30,18,30,18,2,2,0.4615156619088243,0.5256449334562627,0.1009597726344937,0,-0.002152285668956094,50.64114836042833,58.921232724830624,0.6580128394325753,14,3.7249429709439448,1,Medium
SYN0009,Latvia_Uni_C,PRG_105,Indonesia,Latvia,2022,Mathematics,Master,Full-time,Male,28,Single,2,0.3607099869053101,0.6,Mentoring,0,0,0,0,None,5.657097297697851,5.802956007544729,4.5223533781930945,4.659625263058953,30,18,30,18,2,2,0.7063124809108251,0.7121518110110121,0.09817855154710327,0,0.001803338085647916,76.35877127179582,35.82130168331179,0.38237725383910504,4,4.687961417928026,0,Medium
SYN0010,Latvia_Uni_C,PRG_421,India,Latvia,2022,Medicine,Bachelor,Full-time,Male,23,Single,4,0.44481553525743905,0.3,Mentoring,0,1,0,0,None,4.6020534177411765,6.201877126431873,6.9288158460268425,5.999838933305152,30,21,30,23,1,1,0.956015784722255,0.7840233343827944,0.12027154984634071,0,0.00038740823279622837,64.57290597058187,60.15902130695469,0.2109286451570136,2,6.395553421977132,1,Low
